,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,Time,Month,Year,cluster_num
43,2,0,1,0,19.68,23.485,48,7.0015,23,5,2012,0
44,3,0,0,0,16.4,20.455,35,19.0012,12,11,2011,2
45,3,0,1,2,14.76,18.18,100,6.0032,0,12,2012,1
46,2,0,1,0,26.24,31.06,44,16.9979,20,6,2011,0
47,0,0,1,0,26.24,31.06,33,0.0,12,9,2012,0
48,1,0,0,0,14.76,16.665,81,19.0012,11,1,2011,1
49,1,0,1,0,9.02,11.365,51,11.0014,17,1,2011,2
50,0,0,1,0,32.8,39.395,63,8.9981,19,7,2012,0
51,3,0,1,0,11.48,14.395,75,7.0015,9,12,2012,1
52,2,0,1,0,24.6,31.06,43,12.998,18,6,2012,0
53,0,0,1,3,20.5,24.24,77,11.0014,4,9,2011,1
54,2,0,1,2,22.96,26.515,88,8.9981,1,5,2012,1
55,2,0,1,3,27.06,31.06,69,16.9979,3,6,2012,1
56,2,0,0,3,29.52,32.575,37,7.0015,16,6,2012,0
57,1,0,1,0,6.56,8.335,47,11.0014,19,1,2011,2
58,1,0,1,0,28.7,31.82,23,22.0028,14,3,2012,0
59,0,0,1,0,22.96,26.515,52,12.998,10,9,2012,0
60,0,0,0,0,31.16,34.09,45,19.0012,18,7,2011,0
61,3,0,0,0,14.76,17.425,62,8.9981,19,12,2012,2
62,2,0,0,2,30.34,34.09,58,7.0015,14,6,2011,0
63,3,0,0,0,19.68,23.485,36,19.0012,13,11,2011,2
64,3,0,1,0,16.4,20.455,87,0.0,22,11,2011,1
65,1,0,0,2,9.84,11.365,93,12.998,20,2,2012,1
66,3,0,1,0,13.12,16.665,93,7.0015,1,11,2011,1
67,0,0,1,0,26.24,30.305,73,8.9981,7,7,2012,1
68,0,0,1,0,32.8,35.605,41,19.9995,15,8,2011,0
69,1,0,1,3,8.2,11.365,64,6.0032,5,1,2012,2
70,2,0,1,0,26.24,31.06,38,15.0013,18,5,2012,0
71,2,0,1,0,28.7,31.82,39,0.0,2,6,2011,0
72,0,0,1,0,32.8,36.365,43,15.0013,16,7,2012,0
73,1,0,1,3,15.58,19.695,25,7.0015,13,3,2011,2
74,1,0,1,3,10.66,13.635,60,8.9981,10,2,2012,2
75,3,0,1,2,14.76,16.665,87,16.9979,2,10,2012,1
76,1,0,1,2,9.84,12.88,87,7.0015,18,2,2012,1
77,2,0,1,3,28.7,32.575,58,15.0013,12,5,2012,0
78,0,0,1,0,26.24,31.06,50,12.998,19,9,2012,0
79,2,0,0,0,26.24,30.305,73,6.0032,8,6,2012,1
80,3,0,1,0,17.22,21.21,41,6.0032,15,12,2011,2
81,3,0,0,0,10.66,12.88,38,15.0013,18,12,2011,2
82,1,0,1,3,24.6,31.06,43,12.998,18,3,2012,0
83,2,0,1,0,22.96,26.515,49,15.0013,20,6,2012,0
84,1,0,1,0,18.86,22.725,33,19.0012,19,1,2012,2
85,0,0,0,0,26.24,28.79,83,8.9981,5,9,2011,1
86,1,0,0,0,8.2,8.335,32,32.9975,14,1,2011,2
87,0,0,1,0,27.06,31.06,69,19.9995,0,7,2011,1
88,1,0,1,3,13.94,17.425,87,6.0032,15,1,2012,1
89,3,0,1,0,13.12,15.91,49,11.0014,19,11,2012,2
90,3,0,0,0,12.3,13.635,52,22.0028,2,11,2011,2
91,3,0,1,0,18.86,22.725,67,12.998,2,10,2011,1
92,1,0,1,3,7.38,12.12,86,0.0,11,2,2011,1
93,0,0,1,0,20.5,24.24,72,7.0015,7,9,2012,1
94,2,1,0,0,28.7,31.82,45,19.9995,23,4,2012,0
95,3,0,1,0,24.6,31.06,53,0.0,12,10,2011,0
96,1,0,1,3,6.56,7.575,86,15.0013,17,1,2011,1
97,1,0,1,0,18.86,22.725,88,12.998,7,3,2012,1
98,3,0,1,0,19.68,23.485,67,19.0012,10,10,2011,1
99,0,0,1,2,27.88,31.82,89,7.0015,22,8,2011,1
100,0,0,1,3,26.24,29.545,78,8.9981,5,8,2012,1
101,3,0,1,3,13.94,17.425,66,7.0015,4,11,2012,1
102,3,0,0,0,9.84,11.365,65,12.998,7,12,2011,1
103,2,0,0,0,26.24,31.06,50,15.0013,20,4,2012,0
104,0,0,1,0,30.34,32.575,35,12.998,19,8,2011,0
105,0,0,1,3,27.06,30.305,83,36.9974,8,9,2012,1
106,3,0,1,0,13.12,15.15,53,16.9979,2,11,2012,2
107,2,0,1,0,27.06,31.06,61,12.998,20,5,2011,0
108,2,0,1,0,28.7,32.575,54,12.998,12,5,2012,0
109,2,0,1,0,30.34,33.335,45,12.998,16,5,2012,0
110,1,1,0,0,11.48,12.88,45,22.0028,4,1,2012,2
111,3,0,1,0,18.04,21.97,67,7.0015,18,11,2011,1
112,3,0,0,0,22.14,25.76,42,15.0013,16,11,2012,0
113,0,0,0,0,18.86,22.725,77,15.0013,0,9,2011,1
114,2,0,1,0,22.96,26.515,52,19.0012,22,6,2012,0
115,2,0,1,0,27.06,31.06,31,7.0015,16,5,2011,0
116,3,0,1,0,16.4,20.455,43,26.0027,9,10,2012,2
117,3,0,0,2,17.22,21.21,77,8.9981,15,10,2012,1
118,3,0,1,0,18.04,21.97,67,6.0032,19,11,2011,1
119,2,0,1,0,31.16,33.335,25,31.0009,12,6,2011,0
120,3,0,0,0,9.02,11.365,55,12.998,19,12,2011,2
121,3,0,1,0,17.22,21.21,38,8.9981,15,11,2012,2
122,0,0,1,2,29.52,34.85,79,7.0015,0,7,2012,1
123,1,0,1,3,27.06,31.06,41,6.0032,13,3,2012,0
124,3,0,1,3,18.86,22.725,88,6.0032,0,10,2012,1
125,3,0,1,0,15.58,19.695,94,0.0,8,12,2012,1
126,2,0,1,0,26.24,30.305,73,6.0032,10,6,2012,1
127,0,0,1,2,22.96,26.515,94,0.0,12,9,2011,1
128,1,0,0,0,18.86,22.725,82,8.9981,1,3,2012,1
129,2,0,0,0,11.48,15.15,70,6.0032,4,4,2011,1
130,2,0,1,3,26.24,31.06,44,19.0012,16,4,2012,0
131,2,1,0,3,20.5,24.24,63,26.0027,17,4,2011,0
132,3,0,1,2,22.14,25.76,94,26.0027,4,10,2011,1
133,0,0,0,3,27.06,31.06,36,16.9979,17,9,2012,0
134,3,0,0,3,14.76,18.94,93,0.0,4,12,2012,1
135,3,0,1,3,15.58,19.695,82,16.9979,6,10,2012,1
136,1,0,1,2,9.02,11.365,75,11.0014,15,1,2012,1
137,0,0,0,0,25.42,30.305,69,7.0015,6,7,2011,1
138,2,0,0,0,17.22,21.21,26,19.9995,0,4,2012,2
139,3,0,0,0,18.04,21.97,88,0.0,6,10,2011,1
140,3,0,0,0,11.48,14.395,81,7.0015,2,11,2012,1
141,0,0,1,3,32.8,37.12,52,8.9981,10,8,2012,0
142,1,0,1,3,12.3,15.15,70,11.0014,9,2,2012,1
143,3,0,1,0,9.02,10.605,55,19.0012,5,12,2012,2
144,3,0,1,0,13.12,17.425,93,0.0,8,11,2011,1
145,1,0,0,3,9.84,12.12,75,11.0014,8,2,2012,1
146,3,0,1,2,18.86,22.725,100,11.0014,5,12,2011,1
147,0,0,1,0,30.34,33.335,51,19.9995,15,9,2011,0
148,0,0,1,3,22.14,25.76,88,26.0027,17,9,2011,1
149,1,0,1,3,11.48,15.15,65,6.0032,0,2,2012,1
150,1,0,0,0,17.22,21.21,54,11.0014,18,3,2011,2
151,3,0,0,0,13.94,15.91,66,15.0013,7,11,2011,1
152,1,0,0,0,18.86,22.725,31,19.0012,14,3,2012,2
153,3,0,1,0,17.22,21.21,82,19.0012,7,10,2011,1
154,0,0,0,3,22.14,25.76,68,7.0015,19,9,2011,1
155,3,0,1,3,12.3,13.635,56,19.9995,19,11,2012,2
156,0,0,0,3,27.06,31.06,36,15.0013,16,9,2012,0
157,2,0,0,0,29.52,32.575,30,7.0015,15,5,2012,0
158,0,0,1,0,33.62,37.88,46,12.998,16,8,2012,0
159,1,0,0,0,24.6,30.305,60,7.0015,13,3,2012,0
160,3,0,1,0,9.84,14.395,65,0.0,1,12,2011,1
161,0,0,1,0,26.24,30.305,69,11.0014,1,9,2011,1
162,0,0,0,0,26.24,28.79,89,6.0032,5,8,2011,1
163,2,0,1,3,24.6,28.79,78,8.9981,7,6,2012,1
164,0,0,0,0,28.7,33.335,79,6.0032,6,7,2012,1
165,1,0,0,2,17.22,21.21,88,16.9979,18,1,2011,1
166,1,0,1,0,13.94,16.665,25,8.9981,19,2,2012,2
167,0,0,1,0,27.06,31.06,74,7.0015,1,8,2011,1
168,0,0,0,0,29.52,33.335,51,19.9995,16,9,2011,0
169,0,0,1,0,26.24,29.545,78,11.0014,4,7,2011,1
170,3,0,0,3,18.04,21.97,72,6.0032,13,10,2012,1
171,1,0,0,3,8.2,9.09,59,23.9994,12,1,2011,2
172,3,0,0,2,14.76,17.425,93,8.9981,17,12,2012,1
173,1,0,1,0,8.2,11.365,51,6.0032,1,1,2012,2
174,2,0,1,0,18.86,22.725,67,19.0012,2,4,2011,1
175,2,0,1,2,13.94,15.15,93,23.9994,7,5,2011,1
176,0,0,0,0,29.52,34.09,62,16.9979,11,9,2011,0
177,2,0,1,0,27.88,31.06,26,19.0012,19,6,2011,0
178,0,0,1,0,30.34,34.09,55,22.0028,16,8,2011,0
179,1,0,1,0,17.22,21.21,28,31.0009,14,3,2012,2
180,1,0,1,0,9.02,11.365,51,11.0014,3,3,2012,2
181,1,0,1,0,9.02,10.605,69,19.0012,3,3,2011,1
182,1,0,1,0,13.94,14.395,36,35.0008,6,1,2012,2
183,2,0,1,0,25.42,31.06,41,12.998,12,5,2012,0
184,3,0,0,0,17.22,21.21,71,12.998,23,11,2012,1
185,2,0,1,0,22.14,25.76,64,26.0027,5,6,2011,1
186,3,0,0,0,10.66,15.15,81,0.0,2,12,2012,1
187,3,0,0,0,12.3,15.91,61,6.0032,20,12,2011,2
188,0,0,1,0,30.34,34.85,66,7.0015,23,8,2011,0
189,2,0,1,0,16.4,20.455,50,19.9995,10,4,2012,2
190,0,0,0,0,27.88,31.82,69,6.0032,2,7,2011,1
191,0,0,0,0,27.06,29.545,89,6.0032,23,9,2012,1
192,1,0,1,0,8.2,8.335,44,27.9993,1,1,2011,2
193,3,0,0,3,10.66,12.88,60,12.998,5,12,2011,2
194,3,0,1,3,10.66,13.635,65,7.0015,1,11,2012,1
195,2,0,0,0,23.78,27.275,49,0.0,18,5,2011,0
196,1,0,1,3,12.3,16.665,81,0.0,23,2,2011,1
197,3,0,1,3,24.6,29.545,73,11.0014,16,10,2011,1
198,3,0,1,3,20.5,24.24,72,11.0014,19,10,2012,1
199,2,0,1,0,24.6,28.79,78,8.9981,0,5,2012,1
200,0,0,0,0,21.32,25.0,63,0.0,2,9,2012,1
201,2,0,1,0,27.06,29.545,89,8.9981,0,6,2011,1
202,0,0,0,0,31.16,34.09,45,15.0013,17,7,2011,0
203,3,0,0,3,16.4,20.455,87,16.9979,9,12,2012,1
204,2,0,1,2,22.14,25.76,52,23.9994,18,5,2011,0
205,0,0,1,3,27.06,30.305,83,15.0013,5,7,2012,1
206,2,0,1,0,13.94,15.91,61,15.0013,7,4,2012,2
207,3,0,1,2,13.12,15.15,81,22.0028,9,11,2012,1
208,3,0,1,0,16.4,20.455,66,7.0015,0,10,2012,1
209,0,1,0,3,27.88,31.82,79,19.0012,16,9,2011,1
210,1,0,1,2,13.12,15.15,81,16.9979,9,1,2012,1
211,1,0,1,0,5.74,7.575,50,8.9981,10,2,2012,2
212,0,0,0,2,30.34,35.605,79,11.0014,17,8,2011,1
213,2,0,1,3,29.52,32.575,37,27.9993,14,6,2012,0
214,2,0,0,0,22.14,25.76,64,7.0015,1,6,2011,1
215,3,0,1,3,10.66,11.365,56,19.9995,7,11,2012,2
216,0,0,1,0,35.26,40.91,50,12.998,14,7,2011,0
217,0,0,0,2,27.06,30.305,83,19.9995,0,8,2011,1
218,1,0,1,3,13.94,14.395,36,32.9975,10,3,2012,2
219,2,0,1,3,23.78,27.275,78,7.0015,23,5,2012,1
220,2,0,1,0,28.7,32.575,58,12.998,9,6,2011,0
221,2,0,1,0,21.32,25.0,29,23.9994,18,4,2011,2
222,1,0,1,0,11.48,12.88,61,19.9995,8,3,2012,2
223,0,0,0,0,27.88,31.82,79,15.0013,8,7,2011,1
224,0,1,0,0,37.72,42.425,35,19.9995,17,7,2012,0
225,3,0,0,0,12.3,16.665,70,0.0,0,12,2012,1
226,1,0,0,3,8.2,10.605,69,8.9981,6,2,2011,1
227,1,0,1,0,10.66,13.635,70,8.9981,11,2,2012,1
228,0,0,1,3,32.8,38.635,59,15.0013,10,8,2011,0
229,1,0,0,2,9.02,11.365,93,8.9981,4,2,2011,1
230,3,0,0,0,12.3,16.665,65,0.0,22,11,2011,1
231,3,0,1,0,14.76,16.665,43,19.0012,15,11,2012,2
232,3,0,1,3,10.66,15.15,65,0.0,0,11,2012,1
233,2,0,0,0,24.6,31.06,49,0.0,15,5,2011,0
234,0,0,1,2,22.14,25.76,94,26.0027,15,9,2011,1
235,1,0,1,0,18.86,22.725,72,26.0027,22,1,2012,1
236,3,0,0,2,14.76,17.425,87,12.998,16,10,2011,1
237,2,0,1,2,24.6,28.79,78,16.9979,22,5,2012,1
238,2,0,0,3,22.14,25.76,94,8.9981,8,5,2011,1
239,0,0,1,0,31.16,34.09,40,7.0015,19,8,2012,0
240,3,0,0,0,20.5,24.24,45,15.0013,9,10,2011,2
241,0,0,1,0,32.8,37.12,49,8.9981,8,7,2012,0
242,3,0,1,0,14.76,18.18,81,6.0032,1,10,2011,1
243,2,1,0,0,22.14,25.76,52,30.0026,15,4,2011,0
244,2,0,0,3,29.52,32.575,37,16.9979,17,6,2012,0
245,2,0,0,3,25.42,30.305,61,7.0015,6,6,2011,0
246,0,0,1,0,29.52,34.09,66,0.0,1,8,2011,1
247,3,0,0,0,11.48,14.395,81,8.9981,5,11,2012,1
248,1,0,1,0,7.38,10.605,51,6.0032,22,2,2011,2
249,0,0,1,3,27.88,31.82,54,7.0015,1,7,2012,0
250,0,0,1,0,27.88,31.82,69,8.9981,10,9,2011,1
251,2,0,0,0,25.42,31.06,43,8.9981,9,6,2011,0
252,0,0,1,0,29.52,34.09,70,19.0012,23,8,2012,0
253,3,0,0,0,18.86,22.725,44,8.9981,0,10,2011,2
254,0,0,1,0,29.52,34.85,74,16.9979,20,7,2011,1
255,0,0,1,0,27.06,31.06,74,8.9981,5,8,2011,1
256,3,0,1,0,21.32,25.0,45,19.0012,13,10,2012,0
257,0,0,0,0,27.06,31.06,47,0.0,12,9,2012,0
258,2,0,1,0,29.52,33.335,51,26.0027,18,4,2011,0
259,1,0,1,3,9.84,12.88,93,7.0015,8,1,2011,1
260,3,0,1,2,14.76,16.665,76,19.0012,3,12,2012,1
261,1,0,1,2,17.22,21.21,77,7.0015,10,2,2012,1
262,2,0,0,0,19.68,23.485,59,6.0032,4,5,2012,0
263,3,0,1,3,18.04,21.97,33,19.9995,6,12,2011,2
264,1,0,1,0,27.06,31.06,39,16.9979,14,3,2011,0
265,2,0,1,0,18.04,21.97,94,12.998,2,5,2011,1
266,1,0,1,0,13.12,15.15,53,19.9995,11,2,2012,2
267,3,0,0,0,14.76,18.94,62,0.0,17,12,2011,1
268,2,0,1,2,21.32,25.0,77,7.0015,6,5,2012,1
269,3,0,0,0,9.84,11.365,56,16.9979,5,11,2011,2
270,3,0,1,0,14.76,16.665,57,19.9995,12,12,2011,2
271,1,0,1,0,18.86,22.725,23,32.9975,18,3,2011,2
272,3,0,1,0,12.3,16.665,87,0.0,4,11,2011,1
273,3,0,1,3,13.12,16.665,66,7.0015,21,11,2012,1
274,2,0,1,2,26.24,30.305,73,19.0012,21,5,2012,1
275,2,0,1,2,15.58,19.695,94,12.998,8,4,2011,1
276,2,0,1,0,22.14,25.76,88,7.0015,5,6,2012,1
277,2,0,1,0,23.78,27.275,60,15.0013,22,6,2011,0
278,2,0,0,0,27.06,30.305,78,15.0013,22,6,2011,1
279,2,0,1,0,22.14,25.76,28,47.9988,12,4,2012,2
280,3,0,1,0,18.04,21.97,88,15.0013,3,10,2012,1
281,3,0,0,0,13.94,17.425,76,6.0032,1,11,2012,1
282,1,0,1,0,21.32,25.0,68,7.0015,10,3,2012,1
283,2,0,1,0,26.24,31.06,31,23.9994,18,4,2011,0
284,3,0,1,0,14.76,17.425,50,12.998,18,12,2011,2
285,0,0,1,0,28.7,33.335,84,0.0,4,8,2012,1
286,2,0,0,0,28.7,31.82,45,27.9993,17,5,2012,0
287,1,0,1,3,5.74,6.06,43,16.9979,13,1,2012,2
288,1,0,0,0,17.22,21.21,16,39.0007,10,2,2011,2
289,3,0,1,0,19.68,23.485,55,6.0032,17,11,2011,0
290,2,0,1,2,18.04,21.97,77,15.0013,17,4,2011,1
291,2,0,1,0,22.96,26.515,52,7.0015,22,6,2012,0
292,2,0,1,0,13.12,15.15,66,22.0028,8,4,2012,1
293,1,0,1,0,15.58,19.695,36,22.0028,13,3,2011,2
294,0,0,1,0,32.8,34.85,29,19.9995,15,8,2011,0
295,2,0,1,2,22.96,26.515,88,7.0015,23,5,2012,1
296,2,0,0,2,23.78,27.275,49,19.0012,17,5,2011,0
297,0,0,1,0,28.7,32.575,54,8.9981,4,8,2011,0
298,3,0,1,2,22.14,25.76,94,11.0014,14,10,2011,1
299,3,0,0,0,18.86,22.725,63,27.9993,2,10,2011,2
300,2,0,1,0,21.32,25.0,55,15.0013,8,5,2011,0
301,0,0,1,0,28.7,31.82,42,16.9979,10,7,2011,0
302,2,0,1,0,23.78,27.275,21,16.9979,16,4,2012,0
303,1,0,1,0,5.74,6.06,50,22.0028,7,2,2011,2
304,2,0,1,3,23.78,27.275,68,27.9993,10,5,2012,1
305,1,0,0,0,21.32,25.0,29,19.0012,18,3,2012,2
306,1,0,1,0,6.56,6.06,40,31.0009,19,2,2011,2
307,2,0,1,0,19.68,23.485,29,26.0027,14,4,2012,2
308,0,0,1,0,30.34,35.605,79,8.9981,23,8,2012,1
309,2,0,1,3,23.78,27.275,46,11.0014,14,6,2012,0
310,2,0,1,0,29.52,34.85,79,6.0032,22,6,2012,1
311,3,0,1,0,11.48,15.15,61,6.0032,19,12,2011,2
312,0,0,1,3,29.52,12.12,58,15.0013,20,8,2012,2
313,2,0,0,0,27.88,31.82,65,11.0014,19,6,2011,0
314,2,0,1,0,19.68,23.485,39,12.998,22,5,2011,2
315,2,0,1,0,36.9,40.91,37,16.9979,17,6,2011,0
316,1,0,1,0,13.94,14.395,46,35.0008,4,1,2012,2
317,1,0,0,0,17.22,21.21,47,32.9975,8,3,2011,2
318,0,0,0,0,18.86,22.725,72,16.9979,8,9,2011,1
319,0,1,0,3,31.98,35.605,52,0.0,12,7,2011,0
320,1,0,0,3,13.12,15.15,66,15.0013,15,2,2012,1
321,1,0,1,0,10.66,11.365,48,22.0028,12,2,2012,2
322,0,0,1,3,29.52,33.335,48,8.9981,15,9,2012,0
323,1,0,0,0,9.84,11.365,41,16.9979,17,1,2012,2
324,0,0,1,0,25.42,29.545,73,15.0013,3,8,2011,1
325,0,0,1,0,22.96,26.515,64,7.0015,8,9,2012,1
326,1,0,0,3,5.74,6.06,50,19.0012,6,1,2012,2
327,1,1,0,0,14.76,16.665,43,27.9993,1,1,2012,2
328,1,0,1,0,18.04,21.97,67,12.998,18,1,2012,1
329,2,0,1,0,27.06,31.06,61,11.0014,20,5,2012,0
330,2,0,1,0,16.4,20.455,87,11.0014,4,4,2011,1
331,1,0,1,0,7.38,8.335,43,16.9979,2,2,2011,2
332,3,0,1,0,8.2,12.88,69,0.0,2,12,2011,1
333,0,0,0,0,31.98,37.12,62,15.0013,11,8,2011,0
334,0,1,0,3,30.34,34.85,70,19.0012,11,9,2012,1
335,1,0,0,3,9.84,12.12,75,11.0014,7,2,2012,1
336,3,0,0,0,14.76,17.425,46,11.0014,12,11,2011,2
337,1,0,0,0,11.48,13.635,56,15.0013,21,1,2012,2
338,2,0,0,3,20.5,24.24,72,0.0,15,5,2011,1
339,0,0,1,0,29.52,33.335,51,8.9981,15,9,2011,0
340,3,0,1,0,11.48,13.635,56,11.0014,2,12,2012,2
341,0,0,0,0,31.16,36.365,66,19.0012,22,8,2012,0
342,0,0,0,0,31.98,37.88,65,15.0013,9,8,2012,0
343,1,0,1,0,28.7,31.82,32,0.0,18,3,2012,0
344,3,0,1,0,21.32,25.0,48,32.9975,20,10,2012,2
345,3,0,1,0,24.6,31.06,46,19.0012,11,10,2011,0
346,2,0,1,0,22.96,26.515,83,11.0014,4,6,2012,1
347,3,0,0,0,27.88,31.82,51,11.0014,15,10,2011,0
348,0,0,1,3,24.6,28.03,83,8.9981,5,9,2011,1
349,3,0,0,2,14.76,18.18,87,7.0015,21,10,2011,1
350,1,0,1,0,13.12,17.425,39,0.0,13,3,2011,2
351,1,0,1,0,15.58,19.695,46,26.0027,12,2,2012,2
352,0,0,0,0,29.52,33.335,58,12.998,18,9,2011,0
353,3,0,1,3,29.52,33.335,54,12.998,12,10,2012,0
354,1,1,0,0,9.84,10.605,44,26.0027,14,1,2012,2
355,3,0,1,0,17.22,21.21,82,7.0015,4,10,2012,1
356,1,0,1,3,14.76,16.665,34,23.9994,11,3,2012,2
357,0,0,1,0,27.88,31.82,61,6.0032,5,8,2011,0
358,0,0,1,2,22.14,25.76,83,26.0027,8,9,2011,1
359,2,0,1,0,20.5,24.24,55,15.0013,0,4,2011,2
360,3,0,0,0,17.22,21.21,38,19.9995,16,11,2011,2
361,2,0,1,0,26.24,31.06,29,11.0014,20,6,2011,0
362,1,0,1,0,3.28,8.335,73,0.0,7,2,2011,1
363,3,0,1,0,13.12,15.91,81,12.998,5,11,2011,1
364,1,0,1,0,4.1,5.305,46,16.9979,22,1,2012,2
365,2,0,0,0,29.52,32.575,45,23.9994,15,5,2012,0
366,2,0,1,0,24.6,28.79,78,22.0028,0,5,2012,1
367,3,0,0,2,14.76,18.18,87,7.0015,20,10,2011,1
368,0,0,1,0,28.7,33.335,79,6.0032,13,9,2011,1
369,2,0,0,0,28.7,32.575,65,0.0,0,6,2011,1
370,3,1,0,0,22.96,26.515,88,6.0032,22,10,2011,1
371,1,0,1,3,17.22,21.21,94,0.0,6,3,2012,1
372,3,1,0,0,15.58,19.695,87,0.0,5,11,2012,1
373,3,0,1,2,22.96,26.515,100,11.0014,18,10,2011,1
374,0,0,1,0,28.7,33.335,79,12.998,5,8,2012,1
375,0,0,0,0,22.14,25.76,49,27.9993,6,9,2012,0
376,0,0,1,0,32.8,36.365,43,12.998,20,8,2011,0
377,3,0,0,0,15.58,19.695,66,11.0014,6,10,2011,1
378,2,0,1,0,31.16,33.335,27,8.9981,16,6,2011,0
379,1,0,1,0,24.6,30.305,28,16.9979,15,2,2011,0
380,3,0,0,3,10.66,12.12,93,16.9979,9,12,2012,1
381,1,0,1,3,8.2,10.605,37,11.0014,16,1,2011,2
382,3,0,1,3,22.14,25.76,68,0.0,12,11,2011,1
383,0,0,1,0,31.98,35.605,49,8.9981,12,8,2012,0
384,3,0,0,3,17.22,21.21,67,12.998,10,10,2012,1
385,3,0,1,0,7.38,12.12,74,0.0,4,12,2011,1
386,0,0,1,3,29.52,34.09,66,6.0032,11,8,2011,0
387,2,0,1,0,16.4,20.455,43,8.9981,0,4,2012,2
388,1,0,1,0,18.04,21.97,38,16.9979,14,2,2012,2
389,3,0,1,3,22.14,25.76,49,8.9981,13,10,2012,0
390,3,0,1,0,12.3,15.15,70,11.0014,3,11,2012,1
391,0,0,1,3,28.7,33.335,74,11.0014,2,7,2011,1
392,3,0,1,3,21.32,25.0,77,12.998,23,10,2011,1
393,1,0,1,3,10.66,15.15,60,0.0,0,2,2012,2
394,3,1,0,0,12.3,14.395,49,16.9979,5,11,2011,2
395,1,0,0,0,9.02,11.365,69,8.9981,8,3,2012,1
396,1,0,1,0,13.94,17.425,23,7.0015,14,2,2012,2
397,2,0,0,3,14.76,17.425,93,8.9981,22,4,2011,1
398,3,0,1,0,16.4,20.455,66,11.0014,22,10,2012,1
399,0,0,0,2,26.24,30.305,73,0.0,14,8,2012,1
400,0,0,0,0,27.88,31.82,83,8.9981,21,9,2011,1
401,2,0,1,0,24.6,31.06,38,26.0027,15,5,2011,0
402,1,0,0,0,8.2,9.85,55,15.0013,11,1,2011,2
403,1,0,1,0,18.86,22.725,88,7.0015,8,3,2012,1
404,2,0,0,0,25.42,31.06,35,19.0012,20,6,2012,0
405,3,0,0,0,10.66,13.635,87,7.0015,4,11,2012,1
406,0,0,0,0,36.9,42.425,42,19.9995,12,8,2011,0
407,3,0,1,3,15.58,19.695,66,0.0,17,12,2012,1
408,0,0,0,0,33.62,39.395,56,27.9993,11,8,2012,0
409,1,0,1,3,12.3,14.395,52,16.9979,21,3,2011,2
410,0,0,1,0,19.68,23.485,77,11.0014,2,9,2012,1
