,datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed
40,6/6/2011 13:00,Summer,0,1, Clear + Few clouds,31.98,34.09,35,0.0
41,11/3/2012 4:00,Winter,0,0, Mist + Cloudy ,13.12,15.15,49,19.9995
42,2/7/2011 12:00,Spring,0,1, Mist + Cloudy ,13.12,17.425,62,0.0
43,5/10/2012 23:00,Summer,0,1, Clear + Few clouds,19.68,23.485,48,7.0015
44,11/19/2011 12:00,Winter,0,0, Clear + Few clouds,16.4,20.455,35,19.0012
45,12/10/2012 0:00,Winter,0,1," Light Snow, Light Rain",14.76,18.18,100,6.0032
46,6/13/2011 20:00,Summer,0,1, Clear + Few clouds,26.24,31.06,44,16.9979
47,9/11/2012 12:00,Fall,0,1, Clear + Few clouds,26.24,31.06,33,0.0
48,1/1/2011 11:00,Spring,0,0, Clear + Few clouds,14.76,16.665,81,19.0012
49,1/6/2011 17:00,Spring,0,1, Clear + Few clouds,9.02,11.365,51,11.0014
50,7/16/2012 19:00,Fall,0,1, Clear + Few clouds,32.8,39.395,63,8.9981
51,12/19/2012 9:00,Winter,0,1, Clear + Few clouds,11.48,14.395,75,7.0015
52,6/5/2012 18:00,Summer,0,1, Clear + Few clouds,24.6,31.06,43,12.998
53,9/19/2011 4:00,Fall,0,1, Mist + Cloudy ,20.5,24.24,77,11.0014
54,5/15/2012 1:00,Summer,0,1," Light Snow, Light Rain",22.96,26.515,88,8.9981
55,6/12/2012 3:00,Summer,0,1, Mist + Cloudy ,27.06,31.06,69,16.9979
56,6/16/2012 16:00,Summer,0,0, Mist + Cloudy ,29.52,32.575,37,7.0015
57,1/10/2011 19:00,Spring,0,1, Clear + Few clouds,6.56,8.335,47,11.0014
58,3/14/2012 14:00,Spring,0,1, Clear + Few clouds,28.7,31.82,23,22.0028
59,9/19/2012 10:00,Fall,0,1, Clear + Few clouds,22.96,26.515,52,12.998
60,7/16/2011 18:00,Fall,0,0, Clear + Few clouds,31.16,34.09,45,19.0012
61,12/15/2012 19:00,Winter,0,0, Clear + Few clouds,14.76,17.425,62,8.9981
62,6/19/2011 14:00,Summer,0,0," Light Snow, Light Rain",30.34,34.09,58,7.0015
63,11/12/2011 13:00,Winter,0,0, Clear + Few clouds,19.68,23.485,36,19.0012
64,11/9/2011 22:00,Winter,0,1, Clear + Few clouds,16.4,20.455,87,0.0
65,2/4/2012 20:00,Spring,0,0," Light Snow, Light Rain",9.84,11.365,93,12.998
66,11/8/2011 1:00,Winter,0,1, Clear + Few clouds,13.12,16.665,93,7.0015
67,7/12/2012 7:00,Fall,0,1, Clear + Few clouds,26.24,30.305,73,8.9981
68,8/16/2011 15:00,Fall,0,1, Clear + Few clouds,32.8,35.605,41,19.9995
69,1/9/2012 5:00,Spring,0,1, Mist + Cloudy ,8.2,11.365,64,6.0032
70,5/18/2012 18:00,Summer,0,1, Clear + Few clouds,26.24,31.06,38,15.0013
71,6/2/2011 2:00,Summer,0,1, Clear + Few clouds,28.7,31.82,39,0.0
72,7/10/2012 16:00,Fall,0,1, Clear + Few clouds,32.8,36.365,43,15.0013
73,3/8/2011 13:00,Spring,0,1, Mist + Cloudy ,15.58,19.695,25,7.0015
74,2/14/2012 10:00,Spring,0,1, Mist + Cloudy ,10.66,13.635,60,8.9981
75,10/9/2012 2:00,Winter,0,1," Light Snow, Light Rain",14.76,16.665,87,16.9979
76,2/8/2012 18:00,Spring,0,1," Light Snow, Light Rain",9.84,12.88,87,7.0015
77,5/1/2012 12:00,Summer,0,1, Mist + Cloudy ,28.7,32.575,58,15.0013
78,9/12/2012 19:00,Fall,0,1, Clear + Few clouds,26.24,31.06,50,12.998
79,6/10/2012 8:00,Summer,0,0, Clear + Few clouds,26.24,30.305,73,6.0032
80,12/2/2011 15:00,Winter,0,1, Clear + Few clouds,17.22,21.21,41,6.0032
81,12/10/2011 18:00,Winter,0,0, Clear + Few clouds,10.66,12.88,38,15.0013
82,3/12/2012 18:00,Spring,0,1, Mist + Cloudy ,24.6,31.06,43,12.998
83,6/5/2012 20:00,Summer,0,1, Clear + Few clouds,22.96,26.515,49,15.0013
84,1/6/2012 19:00,Spring,0,1, Clear + Few clouds,18.86,22.725,33,19.0012
85,9/4/2011 5:00,Fall,0,0, Clear + Few clouds,26.24,28.79,83,8.9981
86,1/8/2011 14:00,Spring,0,0, Clear + Few clouds,8.2,8.335,32,32.9975
87,7/14/2011 0:00,Fall,0,1, Clear + Few clouds,27.06,31.06,69,19.9995
88,1/11/2012 15:00,Spring,0,1, Mist + Cloudy ,13.94,17.425,87,6.0032
89,11/5/2012 19:00,Winter,0,1, Clear + Few clouds,13.12,15.91,49,11.0014
90,11/5/2011 2:00,Winter,0,0, Clear + Few clouds,12.3,13.635,52,22.0028
91,10/6/2011 2:00,Winter,0,1, Clear + Few clouds,18.86,22.725,67,12.998
92,2/1/2011 11:00,Spring,0,1, Mist + Cloudy ,7.38,12.12,86,0.0
93,9/11/2012 7:00,Fall,0,1, Clear + Few clouds,20.5,24.24,72,7.0015
94,4/16/2012 23:00,Summer,1,0, Clear + Few clouds,28.7,31.82,45,19.9995
95,10/7/2011 12:00,Winter,0,1, Clear + Few clouds,24.6,31.06,53,0.0
96,1/11/2011 17:00,Spring,0,1, Mist + Cloudy ,6.56,7.575,86,15.0013
97,3/19/2012 7:00,Spring,0,1, Clear + Few clouds,18.86,22.725,88,12.998
98,10/4/2011 10:00,Winter,0,1, Clear + Few clouds,19.68,23.485,67,19.0012
99,8/3/2011 22:00,Fall,0,1," Light Snow, Light Rain",27.88,31.82,89,7.0015
100,8/1/2012 5:00,Fall,0,1, Mist + Cloudy ,26.24,29.545,78,8.9981
101,11/1/2012 4:00,Winter,0,1, Mist + Cloudy ,13.94,17.425,66,7.0015
102,12/10/2011 7:00,Winter,0,0, Clear + Few clouds,9.84,11.365,65,12.998
103,4/15/2012 20:00,Summer,0,0, Clear + Few clouds,26.24,31.06,50,15.0013
104,8/11/2011 19:00,Fall,0,1, Clear + Few clouds,30.34,32.575,35,12.998
105,9/18/2012 8:00,Fall,0,1, Mist + Cloudy ,27.06,30.305,83,36.9974
106,11/9/2012 2:00,Winter,0,1, Clear + Few clouds,13.12,15.15,53,16.9979
107,5/3/2011 20:00,Summer,0,1, Clear + Few clouds,27.06,31.06,61,12.998
108,5/16/2012 12:00,Summer,0,1, Clear + Few clouds,28.7,32.575,54,12.998
109,5/1/2012 16:00,Summer,0,1, Clear + Few clouds,30.34,33.335,45,12.998
110,1/2/2012 4:00,Spring,1,0, Clear + Few clouds,11.48,12.88,45,22.0028
111,11/9/2011 18:00,Winter,0,1, Clear + Few clouds,18.04,21.97,67,7.0015
112,11/11/2012 16:00,Winter,0,0, Clear + Few clouds,22.14,25.76,42,15.0013
113,9/18/2011 0:00,Fall,0,0, Clear + Few clouds,18.86,22.725,77,15.0013
114,6/4/2012 22:00,Summer,0,1, Clear + Few clouds,22.96,26.515,52,19.0012
115,5/10/2011 16:00,Summer,0,1, Clear + Few clouds,27.06,31.06,31,7.0015
116,10/11/2012 9:00,Winter,0,1, Clear + Few clouds,16.4,20.455,43,26.0027
117,10/7/2012 15:00,Winter,0,0," Light Snow, Light Rain",17.22,21.21,77,8.9981
118,11/3/2011 19:00,Winter,0,1, Clear + Few clouds,18.04,21.97,67,6.0032
119,6/2/2011 12:00,Summer,0,1, Clear + Few clouds,31.16,33.335,25,31.0009
120,12/11/2011 19:00,Winter,0,0, Clear + Few clouds,9.02,11.365,55,12.998
121,11/16/2012 15:00,Winter,0,1, Clear + Few clouds,17.22,21.21,38,8.9981
122,7/16/2012 0:00,Fall,0,1," Light Snow, Light Rain",29.52,34.85,79,7.0015
123,3/15/2012 13:00,Spring,0,1, Mist + Cloudy ,27.06,31.06,41,6.0032
124,10/10/2012 0:00,Winter,0,1, Mist + Cloudy ,18.86,22.725,88,6.0032
125,12/18/2012 8:00,Winter,0,1, Clear + Few clouds,15.58,19.695,94,0.0
126,6/19/2012 10:00,Summer,0,1, Clear + Few clouds,26.24,30.305,73,6.0032
127,9/7/2011 12:00,Fall,0,1," Light Snow, Light Rain",22.96,26.515,94,0.0
128,3/18/2012 1:00,Spring,0,0, Clear + Few clouds,18.86,22.725,82,8.9981
129,4/3/2011 4:00,Summer,0,0, Clear + Few clouds,11.48,15.15,70,6.0032
130,4/4/2012 16:00,Summer,0,1, Mist + Cloudy ,26.24,31.06,44,19.0012
131,4/15/2011 17:00,Summer,1,0, Mist + Cloudy ,20.5,24.24,63,26.0027
132,10/12/2011 4:00,Winter,0,1," Light Snow, Light Rain",22.14,25.76,94,26.0027
133,9/15/2012 17:00,Fall,0,0, Mist + Cloudy ,27.06,31.06,36,16.9979
134,12/8/2012 4:00,Winter,0,0, Mist + Cloudy ,14.76,18.94,93,0.0
135,10/9/2012 6:00,Winter,0,1, Mist + Cloudy ,15.58,19.695,82,16.9979
136,1/9/2012 15:00,Spring,0,1," Light Snow, Light Rain",9.02,11.365,75,11.0014
137,7/2/2011 6:00,Fall,0,0, Clear + Few clouds,25.42,30.305,69,7.0015
138,4/7/2012 0:00,Summer,0,0, Clear + Few clouds,17.22,21.21,26,19.9995
139,10/9/2011 6:00,Winter,0,0, Clear + Few clouds,18.04,21.97,88,0.0
140,11/18/2012 2:00,Winter,0,0, Clear + Few clouds,11.48,14.395,81,7.0015
141,8/8/2012 10:00,Fall,0,1, Mist + Cloudy ,32.8,37.12,52,8.9981
142,2/16/2012 9:00,Spring,0,1, Mist + Cloudy ,12.3,15.15,70,11.0014
143,12/6/2012 5:00,Winter,0,1, Clear + Few clouds,9.02,10.605,55,19.0012
144,11/9/2011 8:00,Winter,0,1, Clear + Few clouds,13.12,17.425,93,0.0
145,2/5/2012 8:00,Spring,0,0, Mist + Cloudy ,9.84,12.12,75,11.0014
146,12/7/2011 5:00,Winter,0,1," Light Snow, Light Rain",18.86,22.725,100,11.0014
147,9/13/2011 15:00,Fall,0,1, Clear + Few clouds,30.34,33.335,51,19.9995
148,9/6/2011 17:00,Fall,0,1, Mist + Cloudy ,22.14,25.76,88,26.0027
149,2/10/2012 0:00,Spring,0,1, Mist + Cloudy ,11.48,15.15,65,6.0032
150,3/12/2011 18:00,Spring,0,0, Clear + Few clouds,17.22,21.21,54,11.0014
151,11/13/2011 7:00,Winter,0,0, Clear + Few clouds,13.94,15.91,66,15.0013
152,3/11/2012 14:00,Spring,0,0, Clear + Few clouds,18.86,22.725,31,19.0012
153,10/4/2011 7:00,Winter,0,1, Clear + Few clouds,17.22,21.21,82,19.0012
154,9/18/2011 19:00,Fall,0,0, Mist + Cloudy ,22.14,25.76,68,7.0015
155,11/7/2012 19:00,Winter,0,1, Mist + Cloudy ,12.3,13.635,56,19.9995
156,9/15/2012 16:00,Fall,0,0, Mist + Cloudy ,27.06,31.06,36,15.0013
157,5/19/2012 15:00,Summer,0,0, Clear + Few clouds,29.52,32.575,30,7.0015
158,8/2/2012 16:00,Fall,0,1, Clear + Few clouds,33.62,37.88,46,12.998
159,3/17/2012 13:00,Spring,0,0, Clear + Few clouds,24.6,30.305,60,7.0015
160,12/9/2011 1:00,Winter,0,1, Clear + Few clouds,9.84,14.395,65,0.0
161,9/15/2011 1:00,Fall,0,1, Clear + Few clouds,26.24,30.305,69,11.0014
162,8/6/2011 5:00,Fall,0,0, Clear + Few clouds,26.24,28.79,89,6.0032
163,6/19/2012 7:00,Summer,0,1, Mist + Cloudy ,24.6,28.79,78,8.9981
164,7/1/2012 6:00,Fall,0,0, Clear + Few clouds,28.7,33.335,79,6.0032
165,1/1/2011 18:00,Spring,0,0," Light Snow, Light Rain",17.22,21.21,88,16.9979
166,2/13/2012 19:00,Spring,0,1, Clear + Few clouds,13.94,16.665,25,8.9981
167,8/2/2011 1:00,Fall,0,1, Clear + Few clouds,27.06,31.06,74,7.0015
168,9/11/2011 16:00,Fall,0,0, Clear + Few clouds,29.52,33.335,51,19.9995
169,7/18/2011 4:00,Fall,0,1, Clear + Few clouds,26.24,29.545,78,11.0014
170,10/7/2012 13:00,Winter,0,0, Mist + Cloudy ,18.04,21.97,72,6.0032
171,1/8/2011 12:00,Spring,0,0, Mist + Cloudy ,8.2,9.09,59,23.9994
172,12/9/2012 17:00,Winter,0,0," Light Snow, Light Rain",14.76,17.425,93,8.9981
173,1/5/2012 1:00,Spring,0,1, Clear + Few clouds,8.2,11.365,51,6.0032
174,4/19/2011 2:00,Summer,0,1, Clear + Few clouds,18.86,22.725,67,19.0012
175,5/4/2011 7:00,Summer,0,1," Light Snow, Light Rain",13.94,15.15,93,23.9994
176,9/10/2011 11:00,Fall,0,0, Clear + Few clouds,29.52,34.09,62,16.9979
177,6/3/2011 19:00,Summer,0,1, Clear + Few clouds,27.88,31.06,26,19.0012
178,8/15/2011 16:00,Fall,0,1, Clear + Few clouds,30.34,34.09,55,22.0028
179,3/9/2012 14:00,Spring,0,1, Clear + Few clouds,17.22,21.21,28,31.0009
180,3/5/2012 3:00,Spring,0,1, Clear + Few clouds,9.02,11.365,51,11.0014
181,3/1/2011 3:00,Spring,0,1, Clear + Few clouds,9.02,10.605,69,19.0012
182,1/18/2012 6:00,Spring,0,1, Clear + Few clouds,13.94,14.395,36,35.0008
183,5/18/2012 12:00,Summer,0,1, Clear + Few clouds,25.42,31.06,41,12.998
184,11/11/2012 23:00,Winter,0,0, Clear + Few clouds,17.22,21.21,71,12.998
185,6/13/2011 5:00,Summer,0,1, Clear + Few clouds,22.14,25.76,64,26.0027
186,12/15/2012 2:00,Winter,0,0, Clear + Few clouds,10.66,15.15,81,0.0
187,12/3/2011 20:00,Winter,0,0, Clear + Few clouds,12.3,15.91,61,6.0032
188,8/8/2011 23:00,Fall,0,1, Clear + Few clouds,30.34,34.85,66,7.0015
189,4/12/2012 10:00,Summer,0,1, Clear + Few clouds,16.4,20.455,50,19.9995
190,7/10/2011 2:00,Fall,0,0, Clear + Few clouds,27.88,31.82,69,6.0032
191,9/1/2012 23:00,Fall,0,0, Clear + Few clouds,27.06,29.545,89,6.0032
192,1/3/2011 1:00,Spring,0,1, Clear + Few clouds,8.2,8.335,44,27.9993
193,12/17/2011 5:00,Winter,0,0, Mist + Cloudy ,10.66,12.88,60,12.998
194,11/15/2012 1:00,Winter,0,1, Mist + Cloudy ,10.66,13.635,65,7.0015
195,5/8/2011 18:00,Summer,0,0, Clear + Few clouds,23.78,27.275,49,0.0
196,2/7/2011 23:00,Spring,0,1, Mist + Cloudy ,12.3,16.665,81,0.0
197,10/11/2011 16:00,Winter,0,1, Mist + Cloudy ,24.6,29.545,73,11.0014
198,10/9/2012 19:00,Winter,0,1, Mist + Cloudy ,20.5,24.24,72,11.0014
199,5/17/2012 0:00,Summer,0,1, Clear + Few clouds,24.6,28.79,78,8.9981
200,9/16/2012 2:00,Fall,0,0, Clear + Few clouds,21.32,25.0,63,0.0
201,6/8/2011 0:00,Summer,0,1, Clear + Few clouds,27.06,29.545,89,8.9981
202,7/16/2011 17:00,Fall,0,0, Clear + Few clouds,31.16,34.09,45,15.0013
203,12/9/2012 9:00,Winter,0,0, Mist + Cloudy ,16.4,20.455,87,16.9979
204,5/6/2011 18:00,Summer,0,1," Light Snow, Light Rain",22.14,25.76,52,23.9994
205,7/9/2012 5:00,Fall,0,1, Mist + Cloudy ,27.06,30.305,83,15.0013
206,4/13/2012 7:00,Summer,0,1, Clear + Few clouds,13.94,15.91,61,15.0013
207,11/13/2012 9:00,Winter,0,1," Light Snow, Light Rain",13.12,15.15,81,22.0028
208,10/12/2012 0:00,Winter,0,1, Clear + Few clouds,16.4,20.455,66,7.0015
209,9/5/2011 16:00,Fall,1,0, Mist + Cloudy ,27.88,31.82,79,19.0012
210,1/17/2012 9:00,Spring,0,1," Light Snow, Light Rain",13.12,15.15,81,16.9979
211,2/13/2012 10:00,Spring,0,1, Clear + Few clouds,5.74,7.575,50,8.9981
212,8/6/2011 17:00,Fall,0,0," Light Snow, Light Rain",30.34,35.605,79,11.0014
213,6/13/2012 14:00,Summer,0,1, Mist + Cloudy ,29.52,32.575,37,27.9993
214,6/4/2011 1:00,Summer,0,0, Clear + Few clouds,22.14,25.76,64,7.0015
215,11/7/2012 7:00,Winter,0,1, Mist + Cloudy ,10.66,11.365,56,19.9995
216,7/19/2011 14:00,Fall,0,1, Clear + Few clouds,35.26,40.91,50,12.998
217,8/14/2011 0:00,Fall,0,0," Light Snow, Light Rain",27.06,30.305,83,19.9995
218,3/9/2012 10:00,Spring,0,1, Mist + Cloudy ,13.94,14.395,36,32.9975
219,5/14/2012 23:00,Summer,0,1, Mist + Cloudy ,23.78,27.275,78,7.0015
220,6/17/2011 9:00,Summer,0,1, Clear + Few clouds,28.7,32.575,58,12.998
221,4/6/2011 18:00,Summer,0,1, Clear + Few clouds,21.32,25.0,29,23.9994
222,3/7/2012 8:00,Spring,0,1, Clear + Few clouds,11.48,12.88,61,19.9995
223,7/3/2011 8:00,Fall,0,0, Clear + Few clouds,27.88,31.82,79,15.0013
224,7/4/2012 17:00,Fall,1,0, Clear + Few clouds,37.72,42.425,35,19.9995
225,12/15/2012 0:00,Winter,0,0, Clear + Few clouds,12.3,16.665,70,0.0
226,2/13/2011 6:00,Spring,0,0, Mist + Cloudy ,8.2,10.605,69,8.9981
227,2/6/2012 11:00,Spring,0,1, Clear + Few clouds,10.66,13.635,70,8.9981
228,8/9/2011 10:00,Fall,0,1, Mist + Cloudy ,32.8,38.635,59,15.0013
229,2/5/2011 4:00,Spring,0,0," Light Snow, Light Rain",9.02,11.365,93,8.9981
230,11/5/2011 22:00,Winter,0,0, Clear + Few clouds,12.3,16.665,65,0.0
231,11/14/2012 15:00,Winter,0,1, Clear + Few clouds,14.76,16.665,43,19.0012
232,11/15/2012 0:00,Winter,0,1, Mist + Cloudy ,10.66,15.15,65,0.0
233,5/8/2011 15:00,Summer,0,0, Clear + Few clouds,24.6,31.06,49,0.0
234,9/6/2011 15:00,Fall,0,1," Light Snow, Light Rain",22.14,25.76,94,26.0027
235,1/17/2012 22:00,Spring,0,1, Clear + Few clouds,18.86,22.725,72,26.0027
236,10/2/2011 16:00,Winter,0,0," Light Snow, Light Rain",14.76,17.425,87,12.998
237,5/8/2012 22:00,Summer,0,1," Light Snow, Light Rain",24.6,28.79,78,16.9979
238,5/15/2011 8:00,Summer,0,0, Mist + Cloudy ,22.14,25.76,94,8.9981
239,8/16/2012 19:00,Fall,0,1, Clear + Few clouds,31.16,34.09,40,7.0015
240,10/16/2011 9:00,Winter,0,0, Clear + Few clouds,20.5,24.24,45,15.0013
241,7/5/2012 8:00,Fall,0,1, Clear + Few clouds,32.8,37.12,49,8.9981
242,10/3/2011 1:00,Winter,0,1, Clear + Few clouds,14.76,18.18,81,6.0032
243,4/15/2011 15:00,Summer,1,0, Clear + Few clouds,22.14,25.76,52,30.0026
244,6/16/2012 17:00,Summer,0,0, Mist + Cloudy ,29.52,32.575,37,16.9979
245,6/5/2011 6:00,Summer,0,0, Mist + Cloudy ,25.42,30.305,61,7.0015
246,8/9/2011 1:00,Fall,0,1, Clear + Few clouds,29.52,34.09,66,0.0
247,11/18/2012 5:00,Winter,0,0, Clear + Few clouds,11.48,14.395,81,8.9981
248,2/3/2011 22:00,Spring,0,1, Clear + Few clouds,7.38,10.605,51,6.0032
249,7/13/2012 1:00,Fall,0,1, Mist + Cloudy ,27.88,31.82,54,7.0015
250,9/13/2011 10:00,Fall,0,1, Clear + Few clouds,27.88,31.82,69,8.9981
251,6/4/2011 9:00,Summer,0,0, Clear + Few clouds,25.42,31.06,43,8.9981
252,8/10/2012 23:00,Fall,0,1, Clear + Few clouds,29.52,34.09,70,19.0012
253,10/16/2011 0:00,Winter,0,0, Clear + Few clouds,18.86,22.725,44,8.9981
254,7/6/2011 20:00,Fall,0,1, Clear + Few clouds,29.52,34.85,74,16.9979
255,8/2/2011 5:00,Fall,0,1, Clear + Few clouds,27.06,31.06,74,8.9981
256,10/16/2012 13:00,Winter,0,1, Clear + Few clouds,21.32,25.0,45,19.0012
257,9/9/2012 12:00,Fall,0,0, Clear + Few clouds,27.06,31.06,47,0.0
258,4/11/2011 18:00,Summer,0,1, Clear + Few clouds,29.52,33.335,51,26.0027
259,1/19/2011 8:00,Spring,0,1, Mist + Cloudy ,9.84,12.88,93,7.0015
260,12/11/2012 3:00,Winter,0,1," Light Snow, Light Rain",14.76,16.665,76,19.0012
261,2/2/2012 10:00,Spring,0,1," Light Snow, Light Rain",17.22,21.21,77,7.0015
262,5/19/2012 4:00,Summer,0,0, Clear + Few clouds,19.68,23.485,59,6.0032
263,12/16/2011 6:00,Winter,0,1, Mist + Cloudy ,18.04,21.97,33,19.9995
264,3/18/2011 14:00,Spring,0,1, Clear + Few clouds,27.06,31.06,39,16.9979
265,5/12/2011 2:00,Summer,0,1, Clear + Few clouds,18.04,21.97,94,12.998
266,2/3/2012 11:00,Spring,0,1, Clear + Few clouds,13.12,15.15,53,19.9995
267,12/3/2011 17:00,Winter,0,0, Clear + Few clouds,14.76,18.94,62,0.0
268,5/1/2012 6:00,Summer,0,1," Light Snow, Light Rain",21.32,25.0,77,7.0015
269,11/19/2011 5:00,Winter,0,0, Clear + Few clouds,9.84,11.365,56,16.9979
270,12/9/2011 12:00,Winter,0,1, Clear + Few clouds,14.76,16.665,57,19.9995
271,3/2/2011 18:00,Spring,0,1, Clear + Few clouds,18.86,22.725,23,32.9975
272,11/2/2011 4:00,Winter,0,1, Clear + Few clouds,12.3,16.665,87,0.0
273,11/15/2012 21:00,Winter,0,1, Mist + Cloudy ,13.12,16.665,66,7.0015
274,5/15/2012 21:00,Summer,0,1," Light Snow, Light Rain",26.24,30.305,73,19.0012
275,4/13/2011 8:00,Summer,0,1," Light Snow, Light Rain",15.58,19.695,94,12.998
276,6/15/2012 5:00,Summer,0,1, Clear + Few clouds,22.14,25.76,88,7.0015
277,6/14/2011 22:00,Summer,0,1, Clear + Few clouds,23.78,27.275,60,15.0013
278,6/11/2011 22:00,Summer,0,0, Clear + Few clouds,27.06,30.305,78,15.0013
279,4/9/2012 12:00,Summer,0,1, Clear + Few clouds,22.14,25.76,28,47.9988
280,10/18/2012 3:00,Winter,0,1, Clear + Few clouds,18.04,21.97,88,15.0013
281,11/11/2012 1:00,Winter,0,0, Clear + Few clouds,13.94,17.425,76,6.0032
282,3/15/2012 10:00,Spring,0,1, Clear + Few clouds,21.32,25.0,68,7.0015
283,4/18/2011 18:00,Summer,0,1, Clear + Few clouds,26.24,31.06,31,23.9994
284,12/19/2011 18:00,Winter,0,1, Clear + Few clouds,14.76,17.425,50,12.998
285,8/8/2012 4:00,Fall,0,1, Clear + Few clouds,28.7,33.335,84,0.0
286,5/13/2012 17:00,Summer,0,0, Clear + Few clouds,28.7,31.82,45,27.9993
287,1/4/2012 13:00,Spring,0,1, Mist + Cloudy ,5.74,6.06,43,16.9979
288,2/19/2011 10:00,Spring,0,0, Clear + Few clouds,17.22,21.21,16,39.0007
289,11/3/2011 17:00,Winter,0,1, Clear + Few clouds,19.68,23.485,55,6.0032
290,4/12/2011 17:00,Summer,0,1," Light Snow, Light Rain",18.04,21.97,77,15.0013
291,6/5/2012 22:00,Summer,0,1, Clear + Few clouds,22.96,26.515,52,7.0015
292,4/12/2012 8:00,Summer,0,1, Clear + Few clouds,13.12,15.15,66,22.0028
293,3/14/2011 13:00,Spring,0,1, Clear + Few clouds,15.58,19.695,36,22.0028
294,8/11/2011 15:00,Fall,0,1, Clear + Few clouds,32.8,34.85,29,19.9995
295,5/15/2012 23:00,Summer,0,1," Light Snow, Light Rain",22.96,26.515,88,7.0015
296,5/8/2011 17:00,Summer,0,0," Light Snow, Light Rain",23.78,27.275,49,19.0012
297,8/10/2011 4:00,Fall,0,1, Clear + Few clouds,28.7,32.575,54,8.9981
298,10/19/2011 14:00,Winter,0,1," Light Snow, Light Rain",22.14,25.76,94,11.0014
299,10/1/2011 2:00,Winter,0,0, Clear + Few clouds,18.86,22.725,63,27.9993
300,5/9/2011 8:00,Summer,0,1, Clear + Few clouds,21.32,25.0,55,15.0013
